"SS00637","GMR_SS00637-20130124_31_D4"
"L168","JRC_SS15296-20160309_31_E1"
"L168","JRC_SS15296-20160309_31_E3"
"L168","JRC_SS15296-20160309_31_E4"
"L168","JRC_SS15296-20160427_31_C2"
"L168","JRC_SS15296-20160427_31_C3"
"L168","JRC_SS15296-20160427_31_C6"
"L168","JRC_SS15296-20160427_31_D1"
"L168","JRC_SS15296-20160427_31_D3"
"L168","JRC_SS15296-20160427_31_D4"
"L85","JRC_SS15297-20160309_31_J1"
"L85","JRC_SS15297-20160309_31_J2"
"L85","JRC_SS15297-20160309_31_J4"
"L85","JRC_SS15297-20160422_31_F1"
"L85","JRC_SS15297-20160422_31_F2"
"L85","JRC_SS15297-20160422_31_F3"
"L85","JRC_SS15297-20160422_31_G1"
"L85","JRC_SS15297-20160422_31_G2"
"L85","JRC_SS15297-20160422_31_G3"
"L85","JRC_SS15297-20160422_31_G4"
"L170","JRC_SS15299-20160309_31_F1"
"L170","JRC_SS15299-20160309_31_F2"
"L170","JRC_SS15299-20160309_31_F4"
"L279","JRC_SS15300-20160525_31_E1"
"L279","JRC_SS15300-20160525_31_E2"
"L279","JRC_SS15300-20160525_31_E3"
"L279","JRC_SS15300-20160525_31_F1"
"L279","JRC_SS15300-20160525_31_F2"
"L279","JRC_SS15300-20160525_31_F3"
"L141","JRC_SS15301-20160427_31_A6"
"L141","JRC_SS15301-20160427_31_B3"
"L141","JRC_SS15301-20160427_31_B4"
"L141","JRC_SS15301-20160427_31_B5"
"L141","JRC_SS15301-20160427_31_B6"
"L90","JRC_SS15303-20160309_31_A2"
"L90","JRC_SS15303-20160309_31_A5"
"L90","JRC_SS15303-20160309_31_A6"
"L135","JRC_SS15304-20160309_31_B1"
"L135","JRC_SS15304-20160309_31_B2"
"L86","JRC_SS15305-20160422_32_A1"
"L86","JRC_SS15305-20160422_32_A2"
"L86","JRC_SS15305-20160422_32_A3"
"L86","JRC_SS15305-20160422_32_B2"
"L86","JRC_SS15305-20160422_32_B3"
"L86","JRC_SS15305-20160422_32_B4"
