"L451","GMR_59C09_AV_01-20141219_42_E6","50H07","59C09","70A","1","Yes","Yes_TI_wk3","Yes_TI_wk23","Yes","Medium"
"L163","JRC_SS03224-20150123_41_A1 ","16C09","25B07","","2","20X Paavo 2015","Yes_TI_wk1","Yes-TI_wk15-16 (flycore)","Yes","None"
"L173","JRC_SS03225-20150123_41_A2","16C09","28A10","?? (can't find 28A10)","1","20X Shiuan-Tze 2015","Yes_TI_wk1","Case4_Wk5","Yes","None"
"L206","JRC_SS03227-20150123_41_A4","70G02","31D07","123","1","No","Yes_TI_wk3","Yes_TI_wk25","Yes","Strong"
"L463","JRC_SS03234-20150123_41_B5","65H10","59F02","7, 8A","1","Yes","Yes_TI_wk3","","Yes","Medium"
"L544","SS03238-20150123_41_C3","21D06","93F07","54","1","Maybe","Yes_TI_wk3","Yes-TI_wk2","Yes","Medium"
"L221","JRC_SS03228-20150123_41_A5","71D08","33E02","3C","1","No","","","Yes","Strong"
"L433","JRC_SS03232-20150123_41_B3","25B07","55C05","3B","1","Maybe","Yes_TI_wk3","Yes-TI_wk2","Yes","None"
"L528","JRC_SS03237-20150123_41_C2","65H10","81E08","2","1","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak"
"MB077B","GMR_MB077B-20140522_31_B3","25D01","19F09","","1","No","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak"
"MB295B","MB295B-20140411_32_G1","10E07","53C10","","1","Yes","Yes_TI_wk3","Yes-TI_wk3","Yes","None"
"MB378B","MB378B-20140626_42_A1","16C09","53B06","","2","Yes","Yes_TI_wk9","","Yes","Needimage"
"MB380B","MB380B-20140411_32_E1","17A04","65D07","","1","No","Yes_TI_wk10","Yes-TI_wk3","Yes","Weak"
"MB390B","MB390B-20140409_32_J4","19B06","59G08","","0","Yes","Yes_TI_wk3","Yes_TI_wk27","Yes","Medium"
"SS00504","GMR_SS00502-20140508_41_I1","25B07","45F12","","1","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak"
"SS00502","SS00504-20140508_41_J1","25C01","54H01","","1","Maybe","Yes_TI_wk3","Yes-rd2","Yes","Medium"
"SS00584","SS00584-20140527_42_G1","49F09","55A03","","0","Yes","","Yes_TI_wk26","Yes","Weak"
"SS00601","SS00601-20130123_33_B1","54G12","22B12","","1","Yes","Yes_TI-wk20","Yes_TI_wk26","Yes","Medium"
"SS00637","SS00637-20130124_31_D4","Ddc","83H01","","1","Yes","Yes_TI_wk9","Yes_TI_wk27","Yes","Needimage"
"SS01217","SS01217-20140708_41_E2","TDC2","BJD_127D06","","1","Yes","Yes_TI_wk9","Yes-TI_wk3","Yes","Strong"
"SS01262","SS01262-20140710_42_A2","BJD_120H03","19B06","","0","20X Shiuan-Tze 2015","Yes_TI_wk1","Yes-rd2","Yes","None"
"SS01331","SS01331-20140708_41_A6","BJD_110D05","40C02","","0","Yes","Yes_TI_wk9","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"SS01371","SS01371-20140617_41_F1","55C09","BJD_110F03","","1","Yes","Yes_TI-wk25","Yes-rd2","Yes","Medium"
"SS01372","GMR_SS01372-20140808_31_G1","25B07","55F01","","1","","Yes_TI_wk9","Yes_TI_wk27","Yes","Weak"
"MB072C","GMR_MB072C-20121114_31_E5","20A02","67F03","","1","Yes","Yes_TI_wk5","Yes_TI_wk19","Yes","Needimage"
"MB155B","GMR_MB155B-20130123_33_A1","24E06","30H02","","2","No","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"MB242A","GMR_MB242A-20130123_31_A1","64F07","57C10","","2","Yes","","Yes_TI_wk19","Yes","Medium"
"MB583B","GMR_MB583B-20140609_41_B3","TH","42H01","","1","No","","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"SS00581","GMR_SS00581-20140527_42_E1","48H12","41B07","","1","No","","Yes-rd2","Yes","Medium"
"L507","JRC_SS03782-20150227_41_A4","34E09","78G09","141","1","Yes","","","Yes","Medium"
"L580","JRC_SS03780-20150227_41_A3","82F03","94F11","1A, 1B, 1F","2","No","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","Strong"
"L605","JRC_SS03771-20150227_41_C4","22B02","10B09","1B","1","No","","Yes-TI_wk3","Yes","Weak"
"L1828","JRC_SS03773-20150227_41_C6","64B08","95F09","4D","1","No","Yes_TI_wk5","Yes-TI_wk8","Yes","Strong"
"L719","JRC_SS03789-20150227_41_B5","34C08","17B08","12A","1","No","Yes_TI_wk9","Yes-TI_wk3","Yes","Medium"
"L717","JRC_SS03788-20150227_41_B6","11G08","16H04","","1","","Yes_TI_wk17","Yes-TI_wk10","Yes","Weak"
"L1666","JRC_SS03790-20150227_41_B2","50H07","85A07","70A","1","","Yes_TI-wk22","","Yes","Weak"
"L578","JRC_SS03776-20150227_41_D2","70G02","94F11","123","1","Maybe","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"L1668","SS03791-20150227_41_C1","65H10","85A07","70A","1","20X Shiuan-Tze 2015","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","None"
"L1531","JRC_SS03797-20150227_41_D6","85A07","66A08","70A","1","Maybe","","Yes-TI_wk10","Yes","Medium"
"L1543","JRC_SS03799-20150227_41_E2","76E07","66B12","17","1","20X Shiuan-Tze 2015","","Yes-TI_wk3","Yes","Weak"
"L784","JRC_SS03802-20150227_41_E4","49G06","22A12","4B","1","20X Paavo 2015","Yes_TI_wk5","Yes-TI_wk8","Yes","Weak"
"L1570","JRC_SS03800-20150227_41_E3","76C08","76E07","","1","Maybe","Yes_TI_wk5","Yes-TI_wk4","Yes","Medium"
"L1518","JRC_SS03801-20150227_41_F1","85A07","65H10","70A","1","20X Shiuan-Tze 2015","Yes_TI_wk6","Yes-TI_wk4","Yes","Weak"
"L1112","GMR_41H07_AV_01-20150313_46_A2","37E08","41H07	","70C","1","Maybe","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Weak"
"L728","JRC_SS03795-20150227_41_D4","76E07","18B11","17","1","20X Paavo 2015","Yes_TI_wk6","Case4_Wk1","Yes","Strong"
"L1810","GMR_94F11_AV_01-20150313_46_B1","11E08","94F11","16C,52","3","Yes","Yes_TI_wk6","","Yes","Needimage"
"L568","GMR_94F11_AV_01-20150313_46_B4","24C08","94F11","1C","2","Maybe","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Needimage"
"L283","GMR_44D05_XD_01-20150313_46_C1","54G12","44D05","1E","1","20X Paavo 2015","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","None"
"L1328","GMR_53C02_AV_01-20150313_46_C4","48E02","53C02","7","1","Yes","Yes_TI-wk21","Yes-TI_wk15-16 (flycore)","Yes","Medium"
"L1313","GMR_53B06_AV_01-20150313_46_C5","76E07","53B06","2, 17","1","No","Yes_TI_wk6","","Yes","Don't Care"
"L1479","GMR_65C07_AV_01-20150313_46_D3","84F07","65C07","4E","1","20X Paavo 2015","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Weak"
"L574","GMR_94F11_AV_01-20150313_46_A4","54G12","94F11","1A, 1C, 1E, 1F","2","20X Paavo 2015","","","Yes","Needimage"
"L1350","GMR_53D01_AV_01-20150313_46_E2","49G06","53D01","3B","1","No","Yes_TI_wk9","Yes-TI_wk15-16 (flycore)","Yes","Don't Care"
"L1337","GMR_53C10_AV_01-20150313_46_F1","41H07","53C10","7","1","Yes","Yes_TI_wk6","Yes-TI_wk4","Yes","Weak"
"L954","GMR_34E07_AV_01-20150306_41_A1","76C08","34E07","4A","1","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Medium"
"L1481","GMR_65C07_AV_01-20150313_46_F4","11B07","65C07","8A","1","20X Paavo 2015","","","Yes","Medium"
"L290","GMR_45F12_AV_01-20150313_46_G2","38D01","45F12","3A","1","Yes","Yes_TI_wk6","","Yes","Weak"
"L885","GMR_30A10_AV_01-20150313_46_G3","22A12","30A10","1, 4B","2","","","","No","Needimage"
"L1422","GMR_59C09_AV_01-20150313_46_G6","85A07","59C09","70A","1","20X_PaavoMike_July_2016","","Case4_Wk5","Yes","None"
"L1358","GMR_53D01_AV_01-20150313_46_H1","76E07","53D01","17","1","Yes","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Needimage"
"L989","GMR_37G11_AV_01-20150306_41_B1","29G05","37G11","11A","1","20X Shiuan-Tze 2015","Yes_TI_wk12","Yes-rd2","Yes","Weak"
"L983","GMR_37E08_AV_01-20150306_41_C6","20G10","37E08","70C","1","20X Shiuan-Tze 2015","Yes_TI_wk6","","Yes","Weak"
"L991","GMR_37G11_AV_01-20150306_41_D6","73B12","37G11","11A","1","20X Shiuan-Tze 2015","Yes_TI_wk12","Yes-TI_wk4","Yes","Medium"
"L939","GMR_33E02_AV_01-20150306_41_E1","11E08","33E02","1B","1","No","","","No","Medium"
"L1045","GMR_41G09_AV_01-20150306_41_E6","54G12","41G09","1A","43","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Strong"
"L1501","GMR_65G08_AV_01-20150306_41_F2","11E08","65G08","52","1","No","","","Yes","Medium"
"L247","GMR_34G01_XD_01-20150403_42_A1","82F03","34G01","1B","1","No","Yes_TI_wk6","Yes-TI_flycore_18Apr-30May16","Yes","Strong"
"L545","GMR_93F07_AV_01-20150403_42_A3","22A12","93F07","141","1","20X Shiuan-Tze 2015","Yes_TI_wk6","Yes-TI_wk4","Yes","None"
"L542","GMR_86A05_AV_01-20150403_42_A4","42D01","86A05","4A","1","20X_PaavoMike_July_2016","Yes_TI-wk24","Yes_TI_wk26","Yes","None"
"L481","GMR_65H10_AV_01-20150403_42_B2","14E05","65H10","7","1","Maybe","","Yes_TI_wk26","Yes","Medium"
"L788","GMR_22C12_AV_01-20150306_41_E5","34C08","22C12","1E","1","Maybe","Yes_TI_wk6","Yes_TI_wk23","Yes","Strong"
"L494","GMR_66B12_AV_01-20150403_43_B4","65D05","66B12","16A,16B","2","20X_PaavoMike_July_2016","Yes_TI-wk25","Yes-TI_wk15-16 (flycore)","Yes","None"
"L327","GMR_47B03_AV_01-20150410_41_A1","82F03","47B03","1A","1","Yes","","","No","Weak"
